Time	MessageType	HTL	ReplicationFactor	SwapFrequency	Result	Hops
0	class dataStructure.message.GetOkMessage	500	1	1	true	1
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	2
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	2
0	class dataStructure.message.GetOkMessage	500	1	1	true	3
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	8
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	2
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	5
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	2
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	4
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	4
0	class dataStructure.message.GetOkMessage	500	1	1	true	10
0	class dataStructure.message.GetOkMessage	500	1	1	true	16
0	class dataStructure.message.GetOkMessage	500	1	1	true	21
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	6
0	class dataStructure.message.GetOkMessage	500	1	1	true	4
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	8
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	5
0	class dataStructure.message.GetOkMessage	500	1	1	true	7
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	5
0	class dataStructure.message.GetOkMessage	500	1	1	true	14
0	class dataStructure.message.GetOkMessage	500	1	1	true	7
0	class dataStructure.message.GetOkMessage	500	1	1	true	15
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	2
0	class dataStructure.message.GetOkMessage	500	1	1	true	10
0	class dataStructure.message.GetOkMessage	500	1	1	true	2
0	class dataStructure.message.GetOkMessage	500	1	1	true	5
0	class dataStructure.message.GetOkMessage	500	1	1	true	7
0	class dataStructure.message.GetOkMessage	500	1	1	true	12
0	class dataStructure.message.GetOkMessage	500	1	1	true	13
0	class dataStructure.message.GetOkMessage	500	1	1	true	17
0	class dataStructure.message.GetOkMessage	500	1	1	true	18
0	class dataStructure.message.GetOkMessage	500	1	1	true	5
0	class dataStructure.message.GetOkMessage	500	1	1	true	36
0	class dataStructure.message.GetOkMessage	500	1	1	true	50
0	class dataStructure.message.GetOkMessage	500	1	1	true	10
0	class dataStructure.message.GetOkMessage	500	1	1	true	28
0	class dataStructure.message.GetOkMessage	500	1	1	true	12
0	class dataStructure.message.GetOkMessage	500	1	1	true	34
0	class dataStructure.message.GetOkMessage	500	1	1	true	14
0	class dataStructure.message.GetOkMessage	500	1	1	true	13
0	class dataStructure.message.GetOkMessage	500	1	1	true	18
0	class dataStructure.message.GetOkMessage	500	1	1	true	31
0	class dataStructure.message.GetOkMessage	500	1	1	true	34
0	class dataStructure.message.GetOkMessage	500	1	1	true	18
0	class dataStructure.message.GetOkMessage	500	1	1	true	10
0	class dataStructure.message.GetOkMessage	500	1	1	true	10
0	class dataStructure.message.GetOkMessage	500	1	1	true	5
0	class dataStructure.message.GetOkMessage	500	1	1	true	2
0	class dataStructure.message.GetOkMessage	500	1	1	true	10
0	class dataStructure.message.GetOkMessage	500	1	1	true	61
0	class dataStructure.message.GetOkMessage	500	1	1	true	15
0	class dataStructure.message.GetOkMessage	500	1	1	true	16
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	3
0	class dataStructure.message.GetOkMessage	500	1	1	true	19
0	class dataStructure.message.GetOkMessage	500	1	1	true	15
0	class dataStructure.message.GetOkMessage	500	1	1	true	30
0	class dataStructure.message.GetOkMessage	500	1	1	true	26
0	class dataStructure.message.GetOkMessage	500	1	1	true	7
0	class dataStructure.message.GetOkMessage	500	1	1	true	23
0	class dataStructure.message.GetOkMessage	500	1	1	true	4
0	class dataStructure.message.GetOkMessage	500	1	1	true	2
0	class dataStructure.message.GetOkMessage	500	1	1	true	26
0	class dataStructure.message.GetOkMessage	500	1	1	true	55
0	class dataStructure.message.GetOkMessage	500	1	1	true	24
0	class dataStructure.message.GetOkMessage	500	1	1	true	26
0	class dataStructure.message.GetOkMessage	500	1	1	true	12
0	class dataStructure.message.GetOkMessage	500	1	1	true	97
0	class dataStructure.message.GetOkMessage	500	1	1	true	21
0	class dataStructure.message.GetOkMessage	500	1	1	true	58
0	class dataStructure.message.GetOkMessage	500	1	1	true	6
0	class dataStructure.message.GetOkMessage	500	1	1	true	7
0	class dataStructure.message.GetOkMessage	500	1	1	true	55
0	class dataStructure.message.GetOkMessage	500	1	1	true	30
0	class dataStructure.message.GetOkMessage	500	1	1	true	36
0	class dataStructure.message.GetOkMessage	500	1	1	true	24
0	class dataStructure.message.GetOkMessage	500	1	1	true	12
0	class dataStructure.message.GetOkMessage	500	1	1	true	31
0	class dataStructure.message.GetOkMessage	500	1	1	true	13
0	class dataStructure.message.GetOkMessage	500	1	1	true	37
0	class dataStructure.message.GetOkMessage	500	1	1	true	54
0	class dataStructure.message.GetOkMessage	500	1	1	true	10
0	class dataStructure.message.GetOkMessage	500	1	1	true	1
0	class dataStructure.message.GetOkMessage	500	1	1	true	40
0	class dataStructure.message.GetOkMessage	500	1	1	true	18
0	class dataStructure.message.GetNotFoundMessage	500	1	1	false	2
0	class dataStructure.message.GetOkMessage	500	1	1	true	9
0	class dataStructure.message.GetOkMessage	500	1	1	true	29
0	class dataStructure.message.GetOkMessage	500	1	1	true	9
0	class dataStructure.message.GetOkMessage	500	1	1	true	13
0	class dataStructure.message.GetOkMessage	500	1	1	true	2
0	class dataStructure.message.GetOkMessage	500	1	1	true	41
0	class dataStructure.message.GetOkMessage	500	1	1	true	90
0	class dataStructure.message.GetOkMessage	500	1	1	true	23
0	class dataStructure.message.GetOkMessage	500	1	1	true	71
0	class dataStructure.message.GetOkMessage	500	1	1	true	35
0	class dataStructure.message.GetOkMessage	500	1	1	true	26
0	class dataStructure.message.GetOkMessage	500	1	1	true	23
0	class dataStructure.message.GetOkMessage	500	1	1	true	34
0	class dataStructure.message.GetOkMessage	500	1	1	true	56
0	class dataStructure.message.GetOkMessage	500	1	1	true	9
0	class dataStructure.message.GetOkMessage	500	1	1	true	11
0	class dataStructure.message.GetOkMessage	500	1	1	true	24
0	class dataStructure.message.GetOkMessage	500	1	1	true	38
0	class dataStructure.message.GetOkMessage	500	1	1	true	39
0	class dataStructure.message.GetOkMessage	500	1	1	true	14
0	class dataStructure.message.GetOkMessage	500	1	1	true	46
